_id,name,price,author,genre,release_year,publisher,link,number_of_reviews
6407ae3a77202a63bde238f3,['Сплетение '],74,Летиция Коломбани,Зарубежная сентиментальная проза, 2019 ,Эксмо,https://book24.ru/product/spletenie-5275197/,13
6407ae3a77202a63bde238f4,"['Девушка, которая должна умереть ']",93,Давид Лагеркранц,Зарубежные детективы, 16+ ,Эксмо,https://book24.ru/product/devushka-kotoraya-dolzhna-umeret-5444027/,11
6407ae3a77202a63bde238f5,['Королева изгоев '],91,Лайон Спрэг Де Камп,Зарубежная фантастика, 16+ ,Эксмо,https://book24.ru/product/koroleva-izgoev-5459405/,13
6407ae3a77202a63bde238f6,['Книга-тренажер для вашего мозга '],159,Книга-тренажер для вашего мозга,АСТ, 12+ ,Прайм,https://book24.ru/product/kniga-trenazher-dlya-vashego-mozga-192893/,9
6407ae3a77202a63bde238f7,['Мастерская кукол '],88,Элизабет Макнил,Современная зарубежная проза, 16+ ,Эксмо,https://book24.ru/product/masterskaya-kukol-5336325/,18
6407ae3a77202a63bde238f8,['В мире нет места для меня. Искренняя история борьбы за себя '],102,Ингеборг Сеннесет,Медицинские истории, 2020 ,Эксмо,https://book24.ru/product/v-mire-net-mesta-dlya-menya-iskrennyaya-istoriya-borby-za-sebya-5909001/,4
6407ae3a77202a63bde238f9,['Отражение. Опасность близко '],78,С. К. Ренсом,Зарубежное фэнтези, 16+ ,Like Book,https://book24.ru/product/otrazhenie-opasnost-blizko-5358574/,12
6407ae3a77202a63bde238fa,['Грешник '],690,Эмма Скотт,Зарубежная сентиментальная проза, 18+ ,Эксмо,https://book24.ru/product/greshnik-1-6670945/,14
6407ae3b77202a63bde238fb,"['Слишком толстая, слишком пошлая, слишком громкая ']",93,Энн Хелен Питерсон,Современная зарубежная проза, 2020 ,Эксмо,https://book24.ru/product/slishkom-tolstaya-slishkom-poshlaya-slishkom-gromkaya-5559659/,4
6407ae3b77202a63bde238fc,[],93,Мэгги Стивотер,Зарубежное фэнтези, 18+ ,Эксмо,https://book24.ru/product/volki-iz-mersi-follz-prevrashchenie-2-5338156/,13
6407ae3b77202a63bde238fd,['Миллион мелких осколков '],108,Джеймс Фрей,Современная зарубежная проза, 2020 ,Эксмо,https://book24.ru/product/million-melkikh-oskolkov-5446884/,15
6407ae3b77202a63bde238fe,['До самого рая '],1,Ханья Янагихара,Современная зарубежная проза, 2023 ,Corpus,https://book24.ru/product/do-samogo-raya-6703073/,2
